id,actual,predicted
0,0,-1
1,0,-1
2,0,-1
3,0,-1
4,0,-1
5,0,-1
6,0,-1
7,0,-1
8,0,-1
9,0,-1
10,0,-1
11,0,-1
12,0,-1
13,0,-1
14,0,-1
15,0,-1
16,0,-1
17,0,-1
18,0,-1
19,0,-1
20,0,-1
21,0,-1
22,0,-1
23,0,-1
24,0,-1
25,0,-1
26,0,-1
27,0,-1
28,0,-1
29,0,-1
30,0,-1
31,0,-1
32,0,-1
33,0,-1
34,0,-1
35,0,-1
36,0,-1
37,0,-1
38,0,-1
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,8,0
65,23,0
66,48,0
67,83,21
68,129,62
69,185,94
70,248,107
71,316,139
72,388,171
73,465,296
74,539,435
75,618,581
76,701,722
77,792,877
78,901,988
79,1022,1166
80,1160,1366
81,1318,1575
82,1508,1780
83,1712,1995
84,1950,2232
85,2197,2525
86,2472,2827
87,2771,3145
88,3066,3458
89,3399,3779
90,3723,4104
91,4059,4436
92,4427,4784
93,4807,5048
94,5187,5387
95,5573,5741
96,5965,6084
97,6367,6429
98,6738,6775
99,7126,7123
100,7520,7405
101,7908,7753
102,8273,8102
103,8646,8451
104,8976,8800
105,9333,9138
106,9699,9488
107,10029,9838
108,10383,10189
109,10758,10512
110,11123,10837
111,11417,11070
112,11753,11391
113,12035,11711
114,12351,12032
115,12587,12339
116,12886,12619
117,13168,12924
118,13512,13113
119,13763,13401
120,14079,13690
121,14395,13952
122,14636,14190
123,14881,14464
124,15069,14723
125,15267,14958
126,15576,15214
127,15823,15436
128,16128,15654
129,16393,15717
130,16507,15934
131,16833,16161
132,16844,16362
133,17122,16529
134,17056,16697
135,16854,16862
136,16840,17037
137,17703,17202
138,17903,17365
139,18010,17484
140,18185,17625
141,18188,17755
142,18322,17862
143,18627,17988
144,18578,18117
145,18632,18179
146,18426,18266
147,18704,18348
148,17034,18264
149,19054,18339
150,18945,18411
151,16131,18455
152,18960,18487
153,19021,18530
154,18971,18563
155,18930,18596
156,19421,18639
157,19032,18624
158,18809,18612
159,15243,18607
160,19335,18592
161,19110,18580
162,15923,18565
163,18657,18514
164,15390,18463
165,19089,18435
166,18697,18384
167,18403,18321
168,18310,18280
169,18891,18103
170,3908,17918
171,18400,17748
172,17770,17573
173,6776,17365
174,18386,17682
175,5293,17513
176,6890,17355
177,14083,17183
178,15714,17018
179,16805,16857
180,11139,16682
181,15978,16524
182,12563,16366
183,15795,16200
184,15783,16040
185,11676,15880
186,8075,15579
187,15651,15186
188,15106,14794
189,7942,14376
190,15001,13954
191,14416,13560
192,13489,13584
193,13333,13366
194,12565,13119
195,3337,12889
196,11189,12671
197,11355,12434
198,11309,12203
199,11273,11877
200,10744,11563
201,10073,11235
202,9670,10913
203,9471,10598
204,9163,10604
205,8829,10263
206,8820,9897
207,8131,9560
208,7622,9219
209,5831,8853
210,5199,8947
211,6489,8564
212,5962,8198
213,5552,7805
214,5273,7426
215,4809,7076
216,4340,6880
217,3977,6542
218,3609,6206
219,3257,5935
220,2903,5585
221,2615,5264
222,2249,4921
223,1975,4594
224,1745,4267
225,1501,3923
226,1291,3606
227,1111,3291
228,961,2983
229,837,2706
230,737,2448
231,654,2173
232,587,1952
233,522,1710
234,461,1407
235,398,1253
236,338,1083
237,276,953
238,215,811
239,161,662
240,112,487
241,71,419
242,39,341
243,19,274
244,5,208
245,1,132
246,0,40
247,0,40
248,0,19
249,0,19
250,0,20
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,-1
265,0,-1
266,0,-1
267,0,-1
268,0,-1
269,0,-1
270,0,-1
271,0,-1
272,0,-1
273,0,-1
274,0,-1
275,0,-1
276,0,-1
277,0,-1
278,0,-1
279,0,-1
280,0,-1
281,0,-1
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
